switch_type	dbd_seq_changed	nondbd_seq_changed	protein_seq_changed	summarised_switch	dbdminus_isoform_function	general_functional_consequence	consequence_comment
+/+	TRUE	FALSE	TRUE	Canonical DBD (15) | Canonical DBD (11)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (17) | Canonical DBD (2)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (2) | Canonical DBD (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (3) | Canonical DBD (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (3) | Canonical DBD (2)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (3) | Canonical DBD (4)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (3) | Canonical DBD (9)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (30) | Canonical DBD (29)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (4) | Canonical DBD (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (5) | Canonical DBD (11)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (5); Dimerization (1) | Canonical DBD (8); Dimerization (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (5); Oligomerization (1); Transcription repression (1) | Canonical DBD (4); Oligomerization (1); Transcription repression (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (6) | Canonical DBD (3)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (6) | Canonical DBD (7)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (6) | Canonical DBD (8)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD (8); Dimerization (1) | Canonical DBD (4); Dimerization (1)	NA	Change in DNA binding	Fig. 2A-left
+/+	TRUE	FALSE	TRUE	Canonical DBD(s) 1 | Canonical DBD(s) 2	NA	Change in DNA binding	Fig. 2A-middle/right
+/+	TRUE	TRUE	TRUE	Canonical DBD (1); Ligand binding (1); Transcription regulation; Transcription regulation inhibition (1) | Canonical DBD (1); Ligand binding (1)	NA	Reverse regulation and change in DNA binding	Fig. 2A-middle/right,D-E
+/+	TRUE	TRUE	TRUE	Canonical DBD (1); Transcription regulation (1); Unspecified (1) | Canonical DBD (1)	NA	Reverse regulation and change in DNA binding	Fig. 2A-middle/right,D-E
+/+	TRUE	TRUE	TRUE	Canonical DBD (1); Transcription regulation; DNA binding inhibition (1) | Canonical DBD (1)	NA	Reverse regulation and change in DNA binding	Fig. 2A-middle/right,D-E
+/+	TRUE	TRUE	TRUE	Canonical DBD (11); Transcription repression (1) | Canonical DBD (1); Transcription repression (1)	NA	Change in transcription repression and DNA binding	Fig. 2A-left,2G
+/+	TRUE	TRUE	TRUE	Canonical DBD (12); Transcription repression (1) | Canonical DBD (5)	NA	Reverse regulation and change in DNA binding	Fig. 2A-left,E
+/+	TRUE	TRUE	TRUE	Canonical DBD (13); Transcription repression (1) | Canonical DBD (1)	NA	Reverse regulation and change in DNA binding	Fig. 2A-left,E
+/+	TRUE	TRUE	TRUE	Canonical DBD (14); Transcription repression (1) | Canonical DBD (13); Transcription repression (1)	NA	Change in transcription repression and DNA binding	Fig. 2A-left,2G
+/+	TRUE	TRUE	TRUE	Canonical DBD (2); Catalytic (1) | Canonical DBD (2)	NA	+/- Catalytic activity and change in DNA binding	Inference from the present domains and Fig. 2A-middle/right
+/+	TRUE	TRUE	TRUE	Canonical DBD (2); Dimerization (1); Oligomerization; Protein binding (1) | Canonical DBD (2); Dimerization (1)	NA	+/- Oligomerization and change in DNA binding	Inference from the present domains and Fig. 2A-middle/right
+/+	TRUE	TRUE	TRUE	Canonical DBD (25) | Canonical DBD (1); Transcription repression (1)	NA	Reverse regulation and change in DNA binding	Fig. 2A-left,E
+/+	TRUE	TRUE	TRUE	Canonical DBD (3); Protein / Nucleic acid binding (1) | Canonical DBD (1)	NA	+/- Protein or nucleic acid binding and change in DNA binding	Inference from the present domains and Fig. 2A-left
+/+	TRUE	TRUE	TRUE	Canonical DBD (4) | Canonical DBD (6); Oligomerization (1)	NA	TF / Unclear	Isoform with DBDs and an oligomerization domain can be a TF but if the oligomerization domain is lost the protein may not be able to bind DNA on its own
+/+	TRUE	TRUE	TRUE	Canonical DBD (6); Catalytic (1) | ?Nucleic acid binding (1); Canonical DBD (8); Catalytic (1)	NA	+/- Nucleic acid binding and change in DNA binding	Inference from the present domains and Fig. 2A-left
+/+	TRUE	TRUE	TRUE	Canonical DBD(s) 1 | Canonical DBD(s) 2	NA	Change in DNA binding	Fig. 2A-middle/right
